,Virar,Borivali,Andheri,Mumbai Airport,Bandra,Dadar,Mumbai Central,Churchgate,CSMT,Thane,Panvel,Kalyan,Karjat,Khopoli,Lonavala,Kamshet,Talegaon,Akurdi,Chinchwad,Shivajinagar,Pune,Pune Airport
Virar,0,46,59,63,68,71,77,82,89,98,138,121,176,198,213,229,242,259,260,274,276,284
Borivali,46,0,13,17,22,25,31,36,43,52,92,75,130,152,167,183,196,213,214,228,230,238
Andheri,59,13,0,4,9,12,18,23,30,39,79,62,117,139,154,170,183,200,201,215,217,225
Mumbai Airport,63,17,4,0,5,8,14,19,26,35,75,58,113,135,150,166,179,196,197,211,213,221
Bandra,68,22,9,5,0,3,9,14,21,30,70,53,108,130,145,161,174,191,192,206,208,216
Dadar,71,25,12,8,3,0,6,11,18,27,67,50,105,127,142,158,171,188,189,203,205,213
Mumbai Central,77,31,18,14,9,6,0,5,12,21,61,44,99,121,136,152,165,182,183,197,199,207
Churchgate,82,36,23,19,14,11,5,0,7,16,56,39,94,116,131,147,160,177,178,192,194,202
CSMT,89,43,30,26,21,18,12,7,0,9,49,32,87,109,124,140,153,170,171,185,187,195
Thane,98,52,39,35,30,27,21,16,9,0,40,23,78,100,115,131,144,161,162,176,178,186
Panvel,138,92,79,75,70,67,61,56,49,40,0,17,38,60,75,91,104,121,122,136,138,146
Kalyan,121,75,62,58,53,50,44,39,32,23,17,0,55,77,92,108,121,138,139,153,155,163
Karjat,176,130,117,113,108,105,99,94,87,78,38,55,0,22,37,53,66,83,84,98,100,108
Khopoli,198,152,139,135,130,127,121,116,109,100,60,77,22,0,15,31,44,61,62,76,78,86
Lonavala,213,167,154,150,145,142,136,131,124,115,75,92,37,15,0,16,29,46,47,61,63,71
Kamshet,229,183,170,166,161,158,152,147,140,131,91,108,53,31,16,0,13,30,31,45,47,55
Talegaon,242,196,183,179,174,171,165,160,153,144,104,121,66,44,29,13,0,17,18,32,34,42
Akurdi,259,213,200,196,191,188,182,177,170,161,121,138,83,61,46,30,17,0,1,15,17,25
Chinchwad,260,214,201,197,192,189,183,178,171,162,122,139,84,62,47,31,18,1,0,14,16,24
Shivajinagar,274,228,215,211,206,203,197,192,185,176,136,153,98,76,61,45,32,15,14,0,2,10
Pune,276,230,217,213,208,205,199,194,187,178,138,155,100,78,63,47,34,17,16,2,0,8
Pune Airport,284,238,225,221,216,213,207,202,195,186,146,163,108,86,71,55,42,25,24,10,8,0
