,Pune,Shivajinagar,Khadki,Dapodi,Kasarwadi,Pimpri,Chinchwad,Akurdi,Dehu-Road,Begdewadi,Ghorawadi,Talegaon,Vadgaon,Kanhe,Kamshet,Malavli,Lonavala
Pune,0,2,6,8,11,14,16,17,22,28,31,34,38,43,47,55,63
Shivajinagar,2,0,4,6,9,12,14,15,20,26,29,32,36,41,45,53,61
Khadki,6,4,0,2,5,8,10,11,16,22,25,28,32,37,41,49,57
Dapodi,8,6,2,0,3,6,8,9,14,20,23,26,30,35,39,47,55
Kasarwadi,11,9,5,3,0,3,5,6,11,17,20,23,27,32,36,44,52
Pimpri,14,12,8,6,3,0,2,3,8,14,17,20,24,29,33,41,49
Chinchwad,16,14,10,8,5,2,0,1,6,12,15,18,22,27,31,39,47
Akurdi,17,15,11,9,6,3,1,0,5,11,14,17,21,26,30,38,46
Dehu-Road,22,20,16,14,11,8,6,5,0,6,9,12,16,21,25,33,41
Begdewadi,28,26,22,20,17,14,12,11,6,0,3,6,10,15,19,27,35
Ghorawadi,31,29,25,23,20,17,15,14,9,3,0,3,7,12,16,24,32
Talegaon,34,32,28,26,23,20,18,17,12,6,3,0,4,9,13,21,29
Vadgaon,38,36,32,30,27,24,22,21,16,10,7,4,0,5,9,17,25
Kanhe,43,41,37,35,32,29,27,26,21,15,12,9,5,0,4,12,20
Kamshet,47,45,41,39,36,33,31,30,25,19,16,13,9,4,0,8,16
Malavli,55,53,49,47,44,41,39,38,33,27,24,21,17,12,8,0,8
Lonavala,63,61,57,55,52,49,47,46,41,35,32,29,25,20,16,8,0
